"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Barbados","BRB","Population (Total)","SP.POP.TOTL","231599","232514","233520","234478","235294","235936","236466","236997","237680","238616","239864","241367","242971","244453","245663","246536","247136","247592","248095","248784","249696","250780","251979","253193","254354","255450","256500","257497","258443","259336","260175","260963","261714","262441","263165","263884","264606","265370","266220","267190","268296","269524","270844","272205","273568","274923","276277","277634","279006","280396","281804","283221","",
"Brunei Darussalam","BRN","Population (Total)","SP.POP.TOTL","85679","89595","93641","97924","102516","107440","112670","118166","123865","129719","135707","141827","148058","154387","160791","167275","173818","180350","186778","193049","199128","205053","210925","216885","223041","229413","235982","242758","249743","256929","264332","271935","279652","287370","295003","302511","309904","317214","324501","331801","339114","346407","353649","360797","367815","374697","381440","388017","394400","400569","406512","412238","",
"Bhutan","BTN","Population (Total)","SP.POP.TOTL","229348","234758","240424","246388","252698","259344","266373","273954","282302","291555","301758","312823","324583","336802","349280","362006","374953","387893","400551","412745","424082","434592","445008","456362","469244","484390","501192","517306","529519","535738","534905","528304","519056","511588","509105","512594","521146","533737","548599","564350","580888","598455","616383","633893","650417","665568","679365","692159","704542","716939","729429","741822","",
"Botswana","BWA","Population (Total)","SP.POP.TOTL","536728","550152","564484","579729","595904","613097","631398","650835","671416","693176","716052","740118","765685","793164","822806","854746","888776","924373","960807","997534","1034324","1071254","1108461","1146205","1184657","1223738","1263269","1303192","1343440","1383912","1424513","1465072","1505303","1544865","1583453","1620989","1657349","1692148","1724924","1755375","1783349","1808976","1832602","1854739","1875805","1895944","1915187","1933719","1951715","1969341","1986701","2003910","",
"Sub-Saharan Africa (IFC classification)","CAA","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Population (Total)","SP.POP.TOTL","1529229","1556656","1585765","1616515","1648830","1682874","1718558","1755260","1792150","1828710","1864745","1900665","1937323","1975917","2017379","2061620","2108539","2158987","2213997","2274089","2340047","2411118","2484402","2555936","2622989","2684214","2740708","2795175","2851604","2912824","2979588","3050789","3125144","3200633","3275695","3350299","3424733","3498140","3569523","3638316","3704045","3767248","3829636","3893595","3960897","4032102","4106897","4185106","4266247","4349921","4436217","4525209","",
"Canada","CAN","Population (Total)","SP.POP.TOTL","18271000","18614000","18964000","19325000","19678000","20048000","20412000","20744000","21028000","21324000","21645535.1670506","21993630.7937617","22369407.5086437","22774087.2759336","23209000","23518000","23796000","24036000","24277000","24593000","24900000","25202000","25456000","25702000","25942000","26204000","26550000","26895000","27379000","27791000","28171681.963727","28519597.3575112","28833410.3605443","29111906.4041261","29354000","29671900","29987200","30247900","30499200","30769700","31081900","31362000","31676000","31995000","32312000","32576074","32927517","33317662","33726915","34126547","34483975","34880491","",
"East Asia and the Pacific (IFC classification)","CEA","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Population (Total)","SP.POP.TOTL","5434294","5573815","5694247","5789228","5856472","5918002","5991785","6067714","6136387","6180877","6213399","6260956","6307347","6341405","6338632","6302504","6281174","6281738","6294365","6319408","6354074","6391309","6418773","6441865","6470365","6504124","6545106","6593386","6646912","6715519","6799978","6875364","6938265","6993795","7040687","7071850","7088906","7110001","7143991","7184250","7229854","7284753","7339001","7389625","7437115","7483934","7551117","7647675","7743831","7824909","7912398","7997152","",
