Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
47;Hannover-Land II;3;240409;239450;;;182963;183314;;;2067;2258;1672;2005;180896;181056;181291;181309;75761;65573;69644;57144;78433;73215;65169;59493;2567;12982;7228;22004;7350;11976;8669;13908;9422;12533;16212;18936;;;;;3144;;2737;3528;2247;2853;1499;2534;;;1429;1513;;;172;;;;;248;;;;;;1422;;1767;;;;;;;;;;;168;;;;;;;;;;;;53;53;;;;;;;;;;;6958;;;;;;;;309;;;;;;;;;;1972;;1044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502;;181;
48;Hildesheim;3;219571;222804;;;164796;167520;;;2451;2201;1799;1802;162345;165319;162997;165718;68653;60376;63041;52747;66986;64555;59319;54487;2489;10231;5589;18752;7909;11402;8120;13429;13771;14856;14587;17360;;;;;;;2937;3191;2537;2606;1482;2452;;;1208;1405;;;92;;;;;171;;;;;;1293;;1520;;;;;;;;;;;151;;;;;;;;;;;;31;52;;;;;;;;;;;5601;;;;;;;;384;;;;;;;;;;;;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;
49;Salzgitter - Wolfenbüttel;3;208990;213208;;;152599;157578;;;2208;2468;2618;2167;150391;155110;149981;155411;55720;50519;53593;47719;70080;69631;58881;53144;1582;9436;5142;16479;6524;12538;8461;15569;6630;9032;11013;13744;;;;;2119;;2228;2812;1940;2791;1796;2490;;;1286;1334;;;208;;;;;129;;;;;;1163;;1771;;;;;;;;;;;167;;;;;;;;;;;;39;34;;;;;;;;;4548;;5938;;;;;;;;183;;;;;;;;;;1248;;1046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;
50;Braunschweig;3;193799;189975;;;143752;139948;;;1649;1736;1467;1535;142103;138212;142285;138413;49710;47584;48419;40135;61952;53572;47741;39774;3243;7507;6214;15845;7119;10801;9527;13763;10117;12012;17614;19831;;;;;4012;4214;4169;4962;1032;1310;1038;1324;;;1295;1114;;;97;;;;;184;;;;;;;;1270;;;;;;;;;;;128;;;;;;;;;;116;118;100;77;;;;;;;;;3894;;5092;;;;;;;;127;;;;;;;;;;908;;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1094;;134;
51;Helmstedt - Wolfsburg;3;187425;187831;;;133269;135261;;;1927;2196;1494;1790;131342;133065;131775;133471;58760;52427;54188;45319;50826;46064;45837;42391;1839;8480;4796;14114;5731;10216;6440;11309;6666;10692;9004;11801;;;;;2972;;2460;2905;2599;3023;1840;2606;;;1182;1176;;;44;;;;;112;;;;;;1748;;1591;;;;;;;;;331;415;254;;;;;;;;;;;;38;46;;;;;;;;;;;4892;;;;;;;;157;;;;;;;;;;1049;;643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569;;;101;
52;Goslar - Northeim - Osterode;3;208311;214330;;;149429;156221;;;2599;2638;2165;2047;146830;153583;147264;154174;61723;54451;55775;46256;62209;60107;55985;50912;2249;12719;6099;21481;6805;14083;7475;14988;7833;9624;10141;12983;;;;;2373;;2141;2787;1967;2599;1493;2352;;;1086;1247;;;93;;;;;144;;;;;;;;866;;;;;;;;;;;134;;;;;;;;;;;;33;27;;;;;;;;;;;5733;;;;;;;;241;;;;;;;;;;1402;;835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;269;;;131;
53;Göttingen;3;222102;224468;;;165814;166515;;;1974;2227;1511;1908;163840;164288;164303;164607;62558;56503;59000;47343;66192;60483;54410;48788;2633;10765;6667;22086;8581;12493;10432;14635;16740;21360;20076;23708;;;;;3219;;3173;3707;1730;2323;1280;2072;;;1178;1176;;;93;;;;;195;;;;;;;;724;;;;;;;;;;;145;;;;;;;;;;;;67;58;;;;;;;;;;;6121;;;;;;;;234;;;;;;;;;;2187;;1427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361;;115;
3;Niedersachsen;99;6117473;6112110;;;4491281;4482349;;;53723;59446;46021;49738;4437558;4422903;4445260;4432611;1946518;1703363;1825592;1471530;1699556;1581443;1470005;1297940;82291;350420;185647;588401;189645;331141;223935;380373;299885;370188;391901;475742;;;;;60736;4214;74601;87046;41103;60811;37415;53909;;;33809;34658;;;2786;;;;;5364;1022;;;;511;14204;;31977;;;;;;;;;2081;1253;5664;;;307;;;;;;;259;294;1267;1353;;;;;;;;;82424;;165875;;252;;;;;;4990;;;;;;;;;;29234;;21773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2041;5265;;4318;

54;Bremen I;4;256547;256131;;;184512;188189;;;2128;2557;1816;2099;182384;185632;182696;186090;55198;53255;55254;46284;69161;62588;60502;52387;4171;13587;7168;21021;15186;21226;18502;24883;25342;31564;25448;32556;;;;;4849;;4756;4564;1403;2012;1400;1567;;;1641;;;;;247;;;;;;;;;;;119;1617;;;;;;;;;;;;458;;;;;;;;;207;343;87;133;;;;;;;;;5336;;6263;;;;;;;;199;;;;;;;;;;;;398;;;;;;;;;;1531;;959;;;;;;;;;;;;;;;;;;;1057;;373;
55;Bremen II - Bremerhaven;4;227276;231847;;;148510;154838;;;2083;2691;1794;2317;146427;152147;146716;152521;42067;39186;41205;34680;64276;58879;56702;50032;2189;10850;4036;14947;13335;21647;14782;23486;12325;16985;14566;19727;;;;;3982;;3699;3610;2393;2614;2240;2045;;;1824;;;;;330;;;;;;;;;432;1563;276;2527;;;;;;;;;;;;397;;;;;;;;;;;69;83;;;;;;;;;5428;;6044;;;;;;;;267;;;;;;;;;;;;416;;;;;;;;;;;;590;;;;;;;;;;;;;;;;;;;423;;657;
4;Bremen;99;483823;487978;;;333022;343027;;;4211;5248;3610;4416;328811;337779;329412;338611;97265;92441;96459;80964;133437;121467;117204;102419;6360;24437;11204;35968;28521;42873;33284;48369;37667;48549;40014;52283;;;;;8831;;8455;8174;3796;4626;3640;3612;;;3465;;;;;577;;;;;;;;;432;1563;395;4144;;;;;;;;;;;;855;;;;;;;;;207;343;156;216;;;;;;;;;10764;;12307;;;;;;;;466;;;;;;;;;;;;814;;;;;;;;;;1531;;1549;;;;;;;;;;;;;;;;;;;1480;;1030;

87;Aachen I;5;179933;176885;;;134447;130211;;;1476;1582;1213;1194;132971;128629;133234;129017;54175;50703;48728;41146;46907;38523;36432;28937;2883;11554;8401;19464;8225;9520;10212;10911;11931;17241;17485;20765;;;;;4541;;4669;4837;743;1088;680;789;;;;672;;;116;221;;;221;149;;;;385;;;40;149;;;;314;;;;;;;;;;;17;32;;;;;;;25;34;;;137;87;;;14;9;2961;;4149;;;;123;;;;160;;;;46;;;;;;605;;555;;;;149;;;;91;;;;784;;;;;;;;;;;;;;;;;;;;;116;
88;Aachen II;5;228375;228546;;;164576;160816;;;3027;2766;2308;2296;161549;158050;162268;158520;73621;63511;66328;53062;57635;54205;52897;45981;3827;13275;7948;23518;9418;13502;10538;14926;9096;11056;10220;12491;;;;;4543;;3712;2764;2153;2501;1697;1767;;;;1107;1256;;792;820;;;213;81;;;;792;;;77;239;;;;597;;;;;;;;;;;30;29;;;;;;;26;19;;;338;125;;;30;18;;;5337;;;;111;;;;320;;;;55;;;;;;;;551;;;;225;;;;104;;;;719;;;;;;;;;;;;;;;;;;;;;184;
89;Heinsberg;5;188266;187605;;;134521;131761;;;2205;2409;1882;1923;132316;129352;132639;129838;70649;65143;65417;53888;37444;31111;34895;27877;2921;12342;6543;21315;5720;9859;6915;10638;7511;8933;7336;9307;;;;;3310;;3019;1976;1718;1964;1427;1532;;;;1047;;;254;413;;;145;94;;;;784;;;77;199;;;;420;;;;;;;;;;;29;24;;;;;;;18;17;;;231;145;;;44;20;3043;;4652;;;;60;;;;251;;;;26;;;;;;;;437;;;;195;;;;112;;;;556;;;;;;;;;;;;;;;;;;;;;142;
90;Düren;5;199550;199907;;;145541;144058;;;2765;2447;2070;1979;142776;141611;143471;142079;71903;65662;63532;53597;48849;43655;42549;36209;2722;10745;7102;21383;7288;10079;8120;11924;6951;8956;8729;11102;;;;;4867;;3478;2273;;2514;1565;2066;;;;1100;;;183;259;;;148;62;;;;891;;;74;207;;;;592;;;;;;;;;;;35;28;;;;;;;31;20;;;373;201;;;40;19;;;5732;;;;67;;;;311;;;;46;;;;;;;;344;;;;238;;;;122;;;;652;;;;;;;;;;;;;;;;;;196;;;146;
91;Rhein-Erft-Kreis I;5;247721;245417;;;182970;180037;;;6195;2597;4235;2259;176775;177440;178735;177778;83598;69845;75521;60798;63676;63487;55089;49072;5390;18620;10235;29495;7820;11215;9266;13214;9822;11195;12264;16136;;;;;6469;;3865;2688;;2620;1769;1952;;;;1333;;;245;500;;;221;151;;;;793;;;108;195;;;;933;;;;;;;;;;;46;42;;;;;;;19;33;;;407;236;;;44;29;;;6660;;;;225;;;;700;;;;73;;;;;;;;747;;;;313;;;;227;;;;691;;;;;;;;;;;;;;;;;;;458;;178;
92;Euskirchen - Rhein-Erft-Kreis II;5;245268;245382;;;178218;176069;;;3940;3421;2747;2576;174278;172648;175471;173493;88759;75290;79055;63653;53703;50035;46982;40709;6101;20620;11611;32011;8166;11679;9075;13139;10066;12239;12544;15126;;;;;4894;;3826;2523;2589;2321;1702;1810;;;;1276;;;191;420;;;213;160;;;;931;;;94;326;;;;844;;;;;;;;;;;24;40;;;;;;;35;43;;;473;209;;;33;24;;;7183;;;;96;;;;489;;;;20;;;;;;;;576;;;;277;;;;210;;;;762;;;;;;;;;;;;;;;;;;;464;;249;
93;Köln I;5;191277;186798;;;132837;127011;;;1445;1718;1235;1178;131392;125293;131602;125833;48232;42094;43863;34195;48632;43837;40759;33774;3243;10902;7235;18981;8583;10614;10709;12092;13513;15557;16056;20019;;;;;3361;;3501;2522;1329;1971;1032;1398;;;;816;;;168;368;;;204;146;;;;433;;;80;214;;;;454;;;;;;;;;170;;61;25;;;;;;;73;70;;;208;179;;;31;20;3885;;5367;;;;254;;;;411;;;;18;;;;;;444;;337;;;;241;;;;111;;;;883;;;;;;;;;;;;;;;;;;;318;;127;
94;Köln II;5;233118;224430;;;184162;172562;;;1478;1350;1143;1006;182684;171212;183019;171556;73011;59710;64909;48545;59975;55471;48190;37665;4762;18455;14871;32663;9521;9550;12689;12138;26426;26614;28642;34040;;;;;3677;;4072;3237;783;1131;596;809;;;;755;;;103;227;;;328;252;;;;337;;;53;207;;;;341;;;;;;;;;107;;38;27;;;;;;281;43;41;;;213;129;;;37;28;3839;;5955;;;;132;;;;245;;;;10;;;;;;583;;403;;;;364;;;;96;;;;1030;;;;;;;;;;;;;;;;;;;;;115;
95;Köln III;5;201922;197023;;;141714;134252;;;1765;1619;1368;1296;139949;132633;140346;132956;45999;38093;42902;33367;55021;47625;44240;37019;3158;11187;6339;17225;10883;11390;12960;13540;18046;22550;20905;24797;;;;;4161;;3789;2791;1750;1788;1057;1231;;;;847;;;151;367;;;263;201;;;;473;;;67;257;;;;456;;;;;;;;;203;;59;38;;;;;;;57;53;;;248;153;;;34;26;;;4513;;;;381;;;;488;;;;27;;;;;;728;;405;;;;293;;;;127;;;;1041;;;;;;;;;;;;;;;;;;;;;115;
96;Bonn;5;226487;219218;;;175014;167574;;;2143;1898;1775;1655;172871;165676;173239;165919;64778;51674;62844;51654;65955;55251;44909;37387;10416;31606;14418;31483;7523;8381;10988;11624;14797;16856;23686;26573;;;;;4113;;4418;3685;;1211;801;1049;;;;786;;;92;244;;;293;208;;;;443;;;47;74;;;;280;;;;;;;;;;251;25;87;;446;;;;;42;40;;;197;137;;;21;26;4382;;7389;;;;955;;;;358;;;;19;;;;;;;;309;;;;217;;;;132;;907;;1079;;;;;;;;;;;;;;;;;;;;;139;
97;Rhein-Sieg-Kreis I;5;234377;231404;;;172653;167034;;;2251;2203;1906;1856;170402;164831;170747;165178;84556;73959;74187;58516;50271;42568;46065;37986;4172;18727;10796;31488;7946;10523;9496;11650;10895;15389;14000;17359;;;;;3472;;3771;2887;1618;1765;1464;1462;;;;1113;;;148;271;;;238;153;;;;678;;;103;194;;;;432;;;;;;;;;;;23;21;;;;;;;18;19;1150;1581;809;741;;;38;15;5519;;7514;;;;152;;;;315;;;;20;;;;;;803;;534;;;;205;;;;138;;;;713;;;;;;;;;;;;;;;;;;;319;;193;
98;Rhein-Sieg-Kreis II;5;213791;211859;;;164635;161746;;;2190;1994;1725;1715;162445;159752;162910;160031;85058;80363;73860;59487;44098;39489;39571;33235;5058;16012;13468;34858;5445;7430;7433;8800;11732;14046;14122;16898;;;;;3151;;3163;2445;1207;1443;1091;1188;;;;974;;;111;224;;;270;149;;;;605;;;75;163;;;;331;;;;;;;;;;;21;15;;;;;;;18;27;598;969;421;452;;;17;15;5058;;7362;;;;146;;;;299;;;;10;;;;;;1040;;585;;;;163;;;;115;;;;589;;;;;;;;;;;;;;;;;;;;;165;
99;Oberbergischer Kreis;5;209414;211963;;;150899;150609;;;1983;2389;1953;2173;148916;148220;148946;148436;77800;71759;67437;56807;44773;41165;40185;35604;3226;12990;8446;25007;6373;9599;8055;11070;7675;10066;10347;12826;;;;;2769;;2849;2035;1491;1734;1329;1317;;;;977;;;152;380;;458;262;264;;;;905;;;72;228;;;;551;;;;;;;;;;;18;36;;;;;;;26;16;;;363;193;;;32;22;4455;;7487;;;;80;;;;473;;;;21;;;;;;;;364;;;;189;;;;130;;;;629;;;;;;;;;;;;;;;;;;354;449;;198;
100;Rheinisch-Bergischer Kreis;5;216414;215582;;;169131;166669;;;1527;1598;1411;1541;167604;165071;167720;165128;98017;82523;73278;58572;41894;43992;43721;38415;2937;14198;11676;31480;6884;8561;8473;10832;11472;13745;15113;18582;;;;;;;3311;2346;1241;1643;1149;1227;;;;1111;;;155;353;;;265;177;;;;725;;;79;292;;;;543;;;;;;;;;;;25;47;;;;;;;30;30;;;294;197;;;24;18;4713;;7945;;;;119;;;;348;;;;28;;;;;;;;463;;;;297;;;;153;;;;774;;;;;;;;;;;;;;;;;;446;409;;181;
101;Leverkusen - Köln IV;5;214098;213303;;;150030;146460;;;2086;2044;1590;1605;147944;144416;148440;144855;58201;51242;52884;43188;61172;53517;48511;40982;3447;11332;7212;20670;8554;11723;10615;13715;10589;13386;14283;18064;;;;;;;3816;2578;2450;2364;1578;1815;;;;1039;;;177;448;;;202;160;;;;712;;;65;292;;;;620;;;;;;;;;;;30;42;;;;;398;323;164;180;;;315;153;;;23;29;;;5807;;;;277;;;;514;;;;16;;;;;;1604;;632;;;;230;;;;96;;1529;;993;;;;;;;;;;;;;;;;;;;529;;168;
102;Wuppertal I;5;213132;216614;;;145925;145089;;;2520;2101;1987;1915;143405;142988;143938;143174;52427;49021;47470;40972;58407;51180;46638;39244;4314;11852;8198;19458;10992;15003;12499;16743;10198;13308;14318;18285;;;;;4264;;3561;2880;2803;2337;1620;1537;;;;1009;;;390;1098;;;202;128;;;;629;;;61;189;;;;533;;;;;;;;;;;19;25;;;;;;287;131;114;;;311;169;;;37;27;;;5989;;;;187;;;;473;;;;79;;;;;;;;440;;;;227;;;;126;;;;962;;;;;;;;;;;;;;;;;;;;;134;
103;Solingen - Remscheid - Wuppertal II;5;226117;229927;;;160929;162192;;;2357;2157;1908;1794;158572;160035;159021;160398;70269;62365;62029;51248;52931;54910;48123;42869;4170;13940;9650;26079;9222;13418;10740;15057;11334;12956;12676;16357;;;;;4432;;3901;2891;;2446;1590;1668;;;;1103;;;345;664;;;216;157;;;;819;;;74;223;;;;668;;;;;;;;;;;32;44;;;;;430;;177;91;;;320;193;;;36;26;5784;;6853;;;;263;;;;500;;;;25;;;;;;;;347;;;;200;;;;138;;;;786;;;;;;;;;;;;;;;;;;;;;241;
104;Mettmann I;5;205564;204450;;;154473;150715;;;1800;1709;1590;1613;152673;149006;152883;149102;75628;66300;65696;52053;52832;50319;43173;36767;2964;11674;9660;27081;5697;8412;7808;10411;7735;10611;11699;15404;;;;;3134;;3243;2401;;1690;1273;1218;;;;960;;;283;628;;;229;123;;;;785;;;96;257;;;;596;;;;;;;;;;;45;48;;;;;;;26;32;;;273;164;;;30;21;4683;;7764;;;;148;;;;328;;;;47;;;;;;;;305;;;;199;;;;101;;;;457;;;;;;;;;;;;;;;;;;;;;153;
105;Mettmann II;5;165493;168402;;;123036;122690;;;1657;1541;1382;1261;121379;121149;121654;121429;55307;48276;50254;40999;45091;43173;37580;32740;2920;11332;7421;20574;5166;8418;6646;9839;5987;8447;8408;11350;;;;;2997;;2655;1955;;1503;1097;1061;;;;756;;;197;467;;;147;95;;;;596;;;55;199;;;;422;;;;;;;;;;;26;28;;;;;;;31;28;;;212;122;;;21;20;3911;;5730;;;;96;;;;245;;;;39;;;;;;;;197;;;;176;;;;74;;;;347;;;;;;;;;;;;;;;;;;;;;178;
106;Düsseldorf I;5;218889;218215;;;165028;159600;;;1635;1586;1353;1214;163393;158014;163675;158386;78206;68749;65978;52747;47731;45125;43269;35625;5825;16472;14985;31626;8657;10266;10505;11962;13427;15894;15445;19967;;;;;3063;;3458;2554;824;1304;770;804;;;;876;466;;379;734;;;182;104;;;;405;;;63;155;;;;439;;;;;;;;;;;33;38;;;;;173;204;81;71;;;202;114;;;28;28;5021;;6891;;;;126;;;;201;;;;21;;;;;;;;241;;;;187;;;;89;;;;541;;;;;;;;;;;;;;;;;;;;;137;
107;Düsseldorf II;5;196250;195910;;;139390;134823;;;1983;1690;1348;1328;137407;133133;138042;133495;55990;50233;51050;40906;48065;44295;41737;34873;3980;10758;7979;20625;12538;12948;10705;13244;10315;13137;13399;16897;;;;;3848;;3509;2499;1330;1560;1048;900;;;;841;961;;550;1002;;;188;108;;;;511;;;65;208;;;;495;;;;;;;;;380;;81;28;;;;;;202;61;64;;;245;119;;;35;23;;;5845;;;;154;;;;283;;;;18;;;;;;;;256;;;;193;;;;85;;;;556;;;;;;;;;;;;;;;;;;;;;152;
108;Neuss I;5;214614;213950;;;154444;149942;;;1878;1966;1635;1695;152566;147976;152809;148247;78712;70787;69480;55419;46619;43614;42604;36812;3507;12763;9418;25944;5983;8709;7606;9755;7226;9935;9363;12133;;;;;3891;;3666;2556;1665;2168;1503;1543;;;;989;;;226;530;;;187;107;;;;813;;;92;242;;;;603;;;;;;;;;;;43;22;;;;;;;39;30;;;297;133;;;39;22;4155;;6276;;;;201;;;;358;;;;26;;;;;;808;;646;;;;168;;;;107;;;;464;;;;;;;;;;;;;;;;;;;;;594;
109;Mönchengladbach;5;192676;194294;;;127559;124190;;;1953;1774;1617;1444;125606;122416;125942;122746;63843;55784;55030;43020;36665;33852;35447;30018;2847;11573;7414;22148;7827;9233;8080;10241;7638;10162;7792;10876;;;;;;;3149;2191;1663;1569;1339;1231;;;;906;;;145;301;;;158;84;;;;526;;;45;196;;;;526;;;;;;;;;;;20;20;;;;;;;30;31;;;199;104;;;23;19;4259;;5255;;;;124;;;;310;;;;20;;;;;;;;316;;;;179;;;;123;;864;;744;;;;;;;;;;;;;;;;;;;243;;308;
110;Krefeld I - Neuss II;5;202204;204291;;;150999;149731;;;1858;1695;1579;1473;149141;148036;149420;148258;73201;62639;66802;53252;46148;43087;40968;35551;5447;18168;10901;28625;6165;8641;7768;10016;8693;12043;10303;13867;;;;;3372;;3173;2267;1415;1358;1192;1012;;;;926;;;155;345;;;165;90;;2100;;1028;;;77;195;;;;522;;;;;;;;;;;34;32;;;;;;;42;44;;;301;121;;;34;20;3633;;5753;;;;156;;;;289;;;;24;;;;;;529;;457;;;;150;;;;80;;538;;596;;;;;;;;;;;;;;;;;;;;;345;
111;Viersen;5;227631;227805;;;167490;164366;;;1886;1990;1693;1658;165604;162376;165797;162708;87764;79359;76747;61723;47198;41691;44103;36743;3857;15755;10493;30071;7998;11102;8897;11935;8880;12633;11106;14433;;;;;3466;;3464;2554;1684;1836;1557;1428;;;;1269;;;145;302;;;204;130;;;;840;;;99;171;;;;723;;;;;;;;;;;37;22;;;;;;;32;22;;;355;133;;;43;25;4182;;6806;;;;105;;;;303;;;;20;;;;;;575;;457;;;;159;;;;113;;;;552;;;;;;;;;;;;;;;;;;;;;184;
112;Kleve;5;225823;226029;;;161873;158453;;;2383;2128;1713;1714;159490;156325;160160;156739;81216;76480;77833;66161;52778;46290;43253;36810;5003;14620;9094;25249;;8787;7322;9566;9220;10148;9856;12355;;;;;4327;;3212;2277;1630;;1293;1045;;;;974;;;115;299;;;198;138;;;;819;;;94;166;;;;511;;;;;;;;;;;24;29;;;;;;;31;25;;;280;115;;;23;15;5316;;6300;;;;47;;;;306;;;;30;;;;;;;;234;;;;137;;;;101;;;;377;;;;;;;;;;;;;;;;;;;;;185;
113;Wesel I;5;207485;207451;;;153981;151261;;;1736;1740;1512;1553;152245;149521;152469;149708;66172;57576;59970;49564;59709;57225;53249;48139;2781;10624;7224;19441;7527;11071;9091;12676;7489;9873;9780;12853;;;;;3567;;3154;2335;;1569;1646;1323;;;;969;;;229;395;;;158;114;;1583;;923;490;;243;187;;;;446;;;;;;;;;;;25;28;;;;;;;36;30;;;256;97;;;28;15;4510;;5678;;;;84;;;;346;;;;39;;;;;;;;295;;;;179;;;;116;;;;643;;;;;;;;;;;;;;;;;;;;;173;
114;Krefeld II - Wesel II;5;182593;182878;;;131185;129601;;;1948;1681;1489;1412;129237;127920;129696;128189;51835;44906;47806;38812;53578;50636;44856;40990;3245;11098;7237;18168;6994;10123;8546;11438;6888;9462;9485;12727;;;;;3040;;2739;2078;2039;1425;1463;1091;;;;841;;;166;308;;;126;76;;;;535;;;74;187;;;;539;;;;;;;;;;;30;21;;;;;268;270;110;108;;;222;102;;;27;20;;;5085;;;;143;;;;404;;;;26;;;;;;730;;402;;;;109;;;;106;;620;;534;;;;;;;;;;;;;;;;;;;;;148;
115;Duisburg I;5;171223;174332;;;121815;119956;;;2161;1747;1500;1546;119654;118209;120315;118410;38477;37146;36109;31256;55779;50231;47165;43400;1955;6956;4044;11768;8802;12481;9475;13717;6107;8933;8341;11123;;;;;3926;;2897;2123;4608;2102;2748;1470;;;;971;;;318;573;;;156;100;;;;631;;;76;205;;;;516;;;;;;;;;;;36;34;;;;;;;181;151;;;267;113;;;43;29;;;6211;;;;336;;;;857;;;;63;;;;;;;;207;;;;177;;;;91;;;;517;;;;;;;;;;;;;;;;;;;360;;230;
116;Duisburg II;5;166103;171011;;;105682;103924;;;2063;1799;1550;1555;103619;102125;104132;102369;30654;27634;27665;24190;44759;47568;44727;40861;1680;5734;2891;8813;8920;11275;9160;13901;5371;6288;5376;7577;;;;;2909;;2449;1685;4676;3042;3507;2019;;;;885;;;299;540;;;75;58;;;;533;;;115;187;;;;488;;;;;;;;;;;32;34;;;;;351;275;228;178;;;248;87;;;52;31;4299;;5349;;;;335;;;;845;;;;77;;;;;;;;143;;;;122;;;;72;;;;365;;;;;;;;;;;;;;;;;;;309;;302;
117;Oberhausen - Wesel III;5;208991;212283;;;147679;148108;;;2469;1982;1912;1803;145210;146126;145767;146305;46889;40001;43882;35712;65442;65189;60222;57689;2415;9231;4802;15049;10627;14008;11732;16311;11396;14772;9604;13352;;;;;4440;;3579;2325;4001;2643;2938;2011;;;;1109;;;234;480;;;167;106;;;;740;;;104;211;;;;667;;;;;;;;;;;49;43;;;;;;282;92;118;;;293;119;;;47;35;;;6145;;;;155;;;;641;;;;47;;;;;;;;225;;;;168;;;;116;;;;525;;;;;;;;;;;;;;;;;;;;;228;
118;Mülheim - Essen I;5;191475;194638;;;140961;140658;;;1796;1722;1483;1407;139165;138936;139478;139251;49487;44653;47247;37762;58741;57547;53275;49498;3412;11852;6388;18416;7664;12143;8968;13226;8824;10801;9837;13253;;;;;3093;;2858;2054;2339;1940;2029;1458;;;;1018;;;227;538;;;142;97;;;;698;;;77;227;;;;518;;;;;;;;;;;41;60;;;;;222;;108;139;;;217;108;;;42;32;5383;;6404;;;;209;;;;469;;;;53;;;;;;;;167;;;;151;;;;78;;;;491;;;;;;;;;;;;;;;;;;;;;149;
119;Essen II;5;167962;171457;;;108599;107997;;;1614;1581;1319;1308;106985;106416;107280;106689;33243;28968;30540;25067;51677;49023;44684;41637;1721;6967;3627;10947;7752;11065;8716;12431;5382;7352;7616;9495;;;;;3048;;2733;1852;2884;2218;2014;1619;;;;874;;;370;979;;;88;65;;;;565;;;51;171;;;;407;;;;;;;;;304;583;81;154;;;;;240;240;168;141;;;191;118;;;21;31;;;4556;;;;231;;;;385;;;;28;;;;;;;;212;;;;153;;;;92;;734;;723;;;;;;;;;;;;;;;;;;;;;136;
120;Essen III;5;195692;197729;;;151040;149281;;;1551;1591;1268;1198;149489;147690;149772;148083;59101;53269;54310;44455;59008;57055;49626;45888;3007;11035;8581;20829;7341;10240;9855;12239;11576;13969;14550;17807;;;;;3169;;3087;2341;1489;1614;1294;1227;;;;915;;;215;598;;;186;109;;;;525;;;60;173;;;;404;;;;;;;;;213;508;91;148;;;;;;;100;91;;;190;142;;;32;39;4015;;5812;;;;140;;;;326;;;;21;;;;;;;;236;;;;205;;;;98;;;;757;;;;;;;;;;;;;;;;;;570;;;153;
121;Recklinghausen I;5;172167;174767;;;122346;124037;;;1801;1847;1419;1379;120545;122190;120927;122658;41383;37504;40898;34732;54504;52627;48070;43571;2426;9090;4100;13462;7410;12781;8244;14202;6178;7846;7716;9984;;;;;2953;;2661;2162;1770;2078;1530;1470;;;;852;;;204;410;;;152;82;;;;599;;;85;202;;;;463;;;;;;;;;;;21;30;;;;;;;86;80;;;217;102;;;37;17;3921;;5464;;;;162;;;;402;;;;41;;;;;;;;185;;;;163;;;;79;;;;410;;;;;;;;;;;;;;;;;;;264;;238;
122;Recklinghausen II;5;191504;194999;;;137426;140361;;;2221;1810;1702;1428;135205;138551;135724;138933;49404;44021;47082;40418;61748;58984;54378;51110;2122;10678;4813;15219;7529;13805;8501;14614;6733;8603;7860;10299;;;;;3807;;3140;2285;2574;2269;1730;1554;;;;1010;;;252;483;;;131;83;;;;694;;;65;211;;;;467;;;;;;;;;;;29;28;;;;;282;191;140;96;;;328;134;;;61;29;;;5494;;;;168;;;;440;;;;66;;;;;;;;266;;;;184;;;;128;;;;468;;;;;;;;;;;;;;;;;;1006;;;199;
123;Gelsenkirchen;5;181476;187486;;;118452;121673;;;1608;2652;1504;1472;116844;119021;116948;120201;33460;31011;32380;27930;58967;64623;51514;50435;1933;8344;3468;10846;7112;;8880;14497;4270;9013;6413;8327;;;;;2670;;2569;2148;2833;4199;2562;2018;;;;818;;;463;1094;;;82;52;;;;573;;;81;158;;;;510;;;;;;;;;;;17;33;;;;;493;1831;398;454;;;205;112;;;22;21;4405;;5553;;;;455;;;;702;;;;48;;;;;;701;;448;;;;120;;;;112;;;;456;;;;;;;;;;;;;;;;;;;;;175;
